Title,Ingredients,,Removed amounts and measurements
Cauliflower Tacos with Yum Yum Sauce,"['1 recipe Crispy Breaded Cauliflower', '15-ounce can vegetarian refried beans (or Easy Refried Black Beans or Homemade Refried Beans)', '1/2 teaspoon cumin', '2 cups red cabbage, shredded', '2 limes (1 for the cabbage & 1 to serve)', '3 tablespoons Yum Yum Sauce (use vegan mayo or substitute Spicy Chipotle Sauce)', '8 corn tortillas', 'Fresh cilantro, for garnish']",,"[' Crispy Breaded Cauliflower', ' can vegetarian refried beans (or Easy Refried Black Beans or Homemade Refried Beans)', '/ teaspoon cumin', 's red cabbage, shredded', ' limes ( for the cabbage &  to serve)', ' tablespoons Yum Yum Sauce (use vegan mayo or substitute Spicy Chipotle Sauce)', ' corn tortillas', 'Fresh cilantro, for garnish']"
Loaded Quinoa Tacos,"['1 cup Simply Nature Organic Quinoa', '2 cups Simply Nature Organic Vegetable Broth', '3 tablespoons Simply Nature Organic Coconut Oil', '1 tablespoon each: cumin and paprika', '1 teaspoon each: garlic powder, onion powder, and oregano', '1/2 teaspoon kosher salt, divided', '2 green onions', '1 lime', '1 bell peppers (we used 1/2 red and 1/2 orange)', '4 cups Simply Nature Organic Spring Mix', 'Salsa, store bought or Salsa Fresca', 'Sour cream, spicy mayo, or cashew cream', 'Feta cheese crumbles (omit for vegan)', 'Pickled red onions, pickled radishes or pickled jalapenos (optional, made in advance)', '10 to 12 corn tortillas']",,"[' Simply Nature Organic Quinoa', 's Simply Nature Organic Vegetable Broth', ' tablespoons Simply Nature Organic Coconut Oil', ' tablespoon each: cumin and paprika', ' teaspoon each: garlic powder, onion powder, and oregano', '/ teaspoon kosher salt, divided', ' green onions', ' lime', ' bell peppers (we used / red and / orange)', 's Simply Nature Organic Spring Mix', 'Salsa, store bought or Salsa Fresca', 'Sour cream, spicy mayo, or cashew cream', 'Feta cheese crumbles (omit for vegan)', 'Pickled red onions, pickled radishes or pickled jalapenos (optional, made in advance)', ' to  corn tortillas']"
Healthy Instant Pot Tacos (Plant Based!),"['4 cups Instant Pot Smoky Lentils and Rice recipe (that recipe makes 10 cups total)', '1 cup cherry tomatoes, multi-colored if desired', '1 head romaine lettuce', '1/2 small red onion', '8 corn tortillas', '1 cup salsa, a high quality brand or Salsa Fresca', '1/2 cup feta crumbles (omit for vegan)', 'Fresh cilantro, for garnish', 'Other ideas for sauces: Cilantro drizzle (vegan), Chipotle cashew cream (vegan), Avocado cream, Vegan Sour Cream, or Sour Cream']",,"['s Instant Pot Smoky Lentils and Rice (that makes s total)', ' cherry tomatoes, multi-colored if desired', ' head romaine lettuce', '/ small red onion', ' corn tortillas', ' salsa, a high quality brand or Salsa Fresca', '/ feta crumbles (omit for vegan)', 'Fresh cilantro, for garnish', 'Other ideas for sauces: Cilantro drizzle (vegan), Chipotle cashew cream (vegan), Avocado cream, Vegan Sour Cream, or Sour Cream']"
Egg Taco with Salsa Fresca,"['8 eggs', '1/2 teaspoon kosher salt', 'Fresh ground pepper', '2 tablespoons butter', '8 tortillas', 'Heirloom Tomato Salsa or Salsa Fresca']",,"[' eggs', '/ teaspoon kosher salt', 'Fresh ground pepper', ' tablespoons butter', ' tortillas', 'Heirloom Tomato Salsa or Salsa Fresca']"
Grilled Mango Tacos with Dream Sauce,"['2 garlic cloves', '2 15-ounce cans black beans', '2 tablespoons extra virgin olive oil', '1/2 teaspoon kosher salt', 'Black pepper', '2 Honey* mangos (1 cup diced)', '1 green onion', '1 cup packed cilantro leaves and tender stems', '2 tablespoons lime juice (1 lime)', '1/4 teaspoon cumin', '1/4 teaspoon kosher salt', '2 tablespoons extra virgin olive oil', '2 tablespoons water', '3 Honey* mangos', 'Extra virgin olive oil', 'Chipotle powder', 'Kosher salt', '8 tortillas', 'Sliced radishes, for the garnish', 'Torn cilantro leaves, for the garnish']",,"[' garlic cloves', '  cans black beans', ' tablespoons extra virgin olive oil', '/ teaspoon kosher salt', 'Black pepper', ' Honey* mangos ( diced)', ' green onion', ' packed cilantro leaves and tender stems', ' tablespoons lime juice ( lime)', '/ teaspoon cumin', '/ teaspoon kosher salt', ' tablespoons extra virgin olive oil', ' tablespoons water', ' Honey* mangos', 'Extra virgin olive oil', 'Chipotle powder', 'Kosher salt', ' tortillas', 'Sliced radishes, for the garnish', 'Torn cilantro leaves, for the garnish']"
Scrambled Egg & Asparagus Tacos,"['1 bunch asparagus', '1 handful chives (2 tablespoons chopped)', '1 cup Greek yogurt', '1 1/2 cups whole milk ricotta cheese', '8 eggs', '1 tablespoon butter', '8 corn tortillas', 'Kosher salt', 'Fresh ground black pepper']",,"[' bunch asparagus', ' handful chives ( tablespoons chopped)', ' Greek yogurt', ' /s whole milk ricotta cheese', ' eggs', ' tablespoon butter', ' corn tortillas', 'Kosher salt', 'Fresh ground black pepper']"
Easy Vegan Tacos,"['1 1/2 cups green lentils', '2 tablespoons olive oil', '1 teaspoon cumin', '1 teaspoon garlic powder', '3/4 teaspoon kosher salt', 'Fresh ground pepper', '8 One Degree sprouted organic corn tortillas', '2 green onions', '1/2 small green cabbage', 'Salsa verde (purchased or homemade)', 'Creamy Cilantro Sauce, to serve', 'Avocado or pickled jalapenos, optional']",,"[' /s green lentils', ' tablespoons olive oil', ' teaspoon cumin', ' teaspoon garlic powder', '/ teaspoon kosher salt', 'Fresh ground pepper', ' One Degree sprouted organic corn tortillas', ' green onions', '/ small green cabbage', 'Salsa verde (purchased or homemade)', 'Creamy Cilantro Sauce, to serve', 'Avocado or pickled jalapenos, optional']"
Spiced Chickpea Tacos with Avocado Cream,"['2 15-ounce cans chickpeas (3 cups cooked)', '1 teaspoon smoked paprika', '1 teaspoon garlic powder', '1 teaspoon dried oregano', '1 teaspoon onion powder', '1 teaspoon cumin', '1 teaspoon kosher salt', '2 tablespoons olive oil', '1 teaspoon maple syrup', 'Fresh ground pepper', '1 ripe avocado', 'Â½ cup Greek yogurt', '1 handful cilantro', '2 tablespoons lime juice (1 lime)', '1/2 jalapeno, chopped and seeded', '1/2 teaspoon kosher salt', '1 small garlic clove', '2 cups red cabbage, shredded', '2 tablespoons lime', '1/4 teaspoon kosher salt', '8 corn tortillas']",,"['  cans chickpeas (s cooked)', ' teaspoon smoked paprika', ' teaspoon garlic powder', ' teaspoon dried oregano', ' teaspoon onion powder', ' teaspoon cumin', ' teaspoon kosher salt', ' tablespoons olive oil', ' teaspoon maple syrup', 'Fresh ground pepper', ' ripe avocado', ' Greek yogurt', ' handful cilantro', ' tablespoons lime juice ( lime)', '/ jalapeno, chopped and seeded', '/ teaspoon kosher salt', ' small garlic clove', 's red cabbage, shredded', ' tablespoons lime', '/ teaspoon kosher salt', ' corn tortillas']"
Refried Bean Tacos,"['1 recipe Easy Refried Black Beans or Homemade Refried Beans (or 1 1/2 cups Instant Pot Refried Beans)', '2 cups shredded green cabbage', '1/2 red bell pepper', '1/2 yellow bell pepper', '2 tablespoons fresh lime juice (1 lime)', '1/4 teaspoon kosher salt', 'Fresh ground black pepper', '8 One Degree Organics sprouted corn tortillas', '1 large handful cilantro leaves', '1 recipe Vegan Sour Cream or Cashew Cream (or substitute 1 cup sour cream for non-vegan option)', '1 tablespoon adobo sauce (from 1 can chipotle peppers in adobo sauce)']",,"[' Easy Refried Black Beans or Homemade Refried Beans (or  /s Instant Pot Refried Beans)', 's shredded green cabbage', '/ red bell pepper', '/ yellow bell pepper', ' tablespoons fresh lime juice ( lime)', '/ teaspoon kosher salt', 'Fresh ground black pepper', ' One Degree Organics sprouted corn tortillas', ' large handful cilantro leaves', ' Vegan Sour Cream or Cashew Cream (or substitute  sour cream for non-vegan option)', ' tablespoon adobo sauce (from  can chipotle peppers in adobo sauce)']"
Grilled Vegetable Healthy Tacos,"['1 1/4 cups brown lentils (8 ounces)', '1 tablespoon olive oil', '2 tablespoons ketchup', '1 tablespoon chili powder', '1/2 tablespoon ground cumin', '1/2 teaspoon each paprika, garlic powder, onion powder, and oregano', '1/2 teaspoon kosher salt', '1/2 teaspoon black pepper', '1 pinch crushed red pepper flakes (or more, depending on your spice tolerance)', '1 summer squash', '1 zucchini', '1 onion', 'Olive oil', 'Kosher salt', 'Pepper', 'Tortillas (make your own, or purchase them)', 'Pickled red onions', 'Chili lime sour cream, Cashew cream, Chipotle sauce, or Creamy cilantro sauce']",,"[' /s brown lentils ( ounces)', ' tablespoon olive oil', ' tablespoons ketchup', ' tablespoon chili powder', '/ tablespoon ground cumin', '/ teaspoon each paprika, garlic powder, onion powder, and oregano', '/ teaspoon kosher salt', '/ teaspoon black pepper', ' pinch crushed red pepper flakes (or more, depending on your spice tolerance)', ' summer squash', ' zucchini', ' onion', 'Olive oil', 'Kosher salt', 'Pepper', 'Tortillas (make your own, or purchase them)', 'Pickled red onions', 'Chili lime sour cream, Cashew cream, Chipotle sauce, or Creamy cilantro sauce']"
BBQ Bean Tacos with Pineapple Salsa,"['2 15-ounce cans pinto beans', '2 tablespoons Dijon mustard', '1 tablespoon maple syrup', '3/4 cup organic ketchup (or with natural sugars)', '1/2 teaspoon garlic powder', '1/2 teaspoon chili powder', '3/4 teaspoon kosher salt, divided', '20-ounce can (11/2 cups) pineapple chunks packed in juice* (or substitute Mango Salsa)', '1/4 cup minced red onion', '1/4 cup finely chopped cilantro, plus additional for garnish', '1 small green cabbage', '3 radishes', '1 lime (wedges for squeezing)', 'Tortillas, for serving']",,"['  cans pinto beans', ' tablespoons Dijon mustard', ' tablespoon maple syrup', '/ organic ketchup (or with natural sugars)', '/ teaspoon garlic powder', '/ teaspoon chili powder', '/ teaspoon kosher salt, divided', ' can (/s) pineapple chunks packed in juice* (or substitute Mango Salsa)', '/ minced red onion', '/ finely chopped cilantro, plus additional for garnish', ' small green cabbage', ' radishes', ' lime (wedges for squeezing)', 'Tortillas, for serving']"
Chickpea & Veggie Tacos,"['1 1/2 cups cooked chickpeas, drained and rinsed', 'Extra-virgin olive oil, for drizzling', '1/2 garlic clove, minced', '1/4 teaspoon cumin', '4 medium carrots', '8 corn tortillas, grilled or warmed', '1 mango', '3 radishes', 'Few handfuls of cilantro leaves, stems reserved', 'Sriracha, for serving', 'Sea salt and freshly ground black pepper', '1 serrano pepper, thinly sliced (optional)', '7 ounces Greek yogurt', '2/3 cup reserved cilantro stems', '2 scallions, chopped', '1/2 garlic clove', '1/2 teaspoon dried coriander', 'Juice of 1 lime', '1 tablespoon + 1 teaspoon olive oil', 'Sea salt and freshly ground black pepper', '1/2 teaspoon honey']",,"[' /s cooked chickpeas, drained and rinsed', 'Extra-virgin olive oil, for drizzling', '/ garlic clove, minced', '/ teaspoon cumin', ' medium carrots', ' corn tortillas, grilled or warmed', ' mango', ' radishes', 'Few handfuls of cilantro leaves, stems reserved', 'Sriracha, for serving', 'Sea salt and freshly ground black pepper', ' serrano pepper, thinly sliced (optional)', ' ounces Greek yogurt', '/ reserved cilantro stems', ' scallions, chopped', '/ garlic clove', '/ teaspoon dried coriander', 'Juice of  lime', ' tablespoon +  teaspoon olive oil', 'Sea salt and freshly ground black pepper', '/ teaspoon honey']"
Tofu Tacos with Chipotle Sauce,"['15 ounces firm tofu (organic if possible)', '2 tablespoons reduced sodium soy sauce', '1 Â½ tablespoons maple syrup', '1 tablespoon Mexican hot sauce (such as Cholula)', '1 tablespoon apple cider vinegar', '1 Â½ tablespoons olive oil', '1 teaspoon cumin', '1/2 teaspoon kosher salt, divided', '1 recipe Spicy Chipotle Sauce', 'Â½ head red cabbage', 'Â½ yellow pepper', 'Â½ orange pepper', '2 cups spinach leaves', '8 6-inch corn tortillas', 'Cilantro, for garnish']",,"[' ounces firm tofu (organic if possible)', ' tablespoons reduced sodium soy sauce', '  tablespoons maple syrup', ' tablespoon Mexican hot sauce (such as Cholula)', ' tablespoon apple cider vinegar', '  tablespoons olive oil', ' teaspoon cumin', '/ teaspoon kosher salt, divided', ' Spicy Chipotle Sauce', ' head red cabbage', ' yellow pepper', ' orange pepper', 's spinach leaves', ' -inch corn tortillas', 'Cilantro, for garnish']"
Tacos Rancheros Recipe,"['1 green pepper', '1 yellow onion', '4 cloves garlic', '1/2 tablespoon olive oil', '1 dried ancho chili', '1 teaspoon dried oregano', '1 teaspoon ground cumin', 'Â½ tablespoon ground chipotle pepper', '28-ounce can diced tomatoes', '1/4 cup apple cider vinegar', '1/2 small red cabbage', '8 radishes', '1/4 cup fresh cilantro', '3 limes', '1 avocado (optional)', '1/2 tablespoon butter', '8 eggs', '1/2 cup queso fresco crumbles (or substitute feta crumbles)', '8 corn tortillas', 'Kosher salt', 'Fresh ground black pepper']",,"[' green pepper', ' yellow onion', ' cloves garlic', '/ tablespoon olive oil', ' dried ancho chili', ' teaspoon dried oregano', ' teaspoon ground cumin', ' tablespoon ground chipotle pepper', ' can diced tomatoes', '/ apple cider vinegar', '/ small red cabbage', ' radishes', '/ fresh cilantro', ' limes', ' avocado (optional)', '/ tablespoon butter', ' eggs', '/ queso fresco crumbles (or substitute feta crumbles)', ' corn tortillas', 'Kosher salt', 'Fresh ground black pepper']"
Lentil Tacos,"['1 1/4 cups brown lentils (8 ounces)', '3 1/2 tablespoons homemade taco seasoning mix', '1 red onion', '2 cloves garlic', '1 tablespoon olive oil', '1 1/2 tablespoons ketchup', '8 to 12 whole grain or corn tortillas', 'Toppings of your choice: Lettuce, fresh tomatoes, shredded cheese, salsa, sour cream, or vegan sour cream']",,"[' /s brown lentils ( ounces)', ' / tablespoons homemade taco seasoning mix', ' red onion', ' cloves garlic', ' tablespoon olive oil', ' / tablespoons ketchup', ' to  whole grain or corn tortillas', 'Toppings of your choice: Lettuce, fresh tomatoes, shredded cheese, salsa, sour cream, or vegan sour cream']"
Superfood Veggie Quesadilla,"['1/2 cup mashed sweet potato (about 1 medium)', '4 cups spinach', '1 teaspoon olive oil', '1/4 teaspoon garlic powder', '1/4 teaspoon cumin', '1/2 cup black beans', '4 8-inch flour or corn tortillas, like our Homemade Spinach Tortillas', '4 slices Applegate Naturals American-Style Colby Cheese', 'Kosher salt']",,"['/ mashed sweet potato (about  medium)', 's spinach', ' teaspoon olive oil', '/ teaspoon garlic powder', '/ teaspoon cumin', '/ black beans', ' -inch flour or corn tortillas, like our Homemade Spinach Tortillas', ' slices Applegate Naturals American-Style Colby Cheese', 'Kosher salt']"
Chipotle Quesadilla with Avocado,"['1 recipe Spicy Chipotle Sauce', '15-ounce can black beans', '1/4 teaspoon cumin', '1/2 tablespoon olive oil', '1/4 teaspoon kosher salt', '2 avocados', '1 1/2 cups shredded Mexican blend cheese', '1 cup corn kernels, frozen or fresh', '8 whole wheat tortillas (or gluten-free tortillas)', 'Cilantro, for a garnish']",,"[' Spicy Chipotle Sauce', ' can black beans', '/ teaspoon cumin', '/ tablespoon olive oil', '/ teaspoon kosher salt', ' avocados', ' /s shredded Mexican blend cheese', ' corn kernels, frozen or fresh', ' whole wheat tortillas (or gluten-free tortillas)', 'Cilantro, for a garnish']"
Brie & Mushroom Quesadilla,"['3 tablespoons olive oil, divided', '8 ounces cremini mushrooms, stems removed and thinly sliced', '1/2 teaspoon rosemary, minced (we used thyme as it was what we had onhand)', 'Salt', 'Freshly cracked black pepper', '4 flour tortillas (or gluten-free)', '8 ounces Brie cheese, thinly sliced', '1 cup arugula, lightly packed', 'Honey', 'Flat leaf parsley, for garnish (optional)']",,"[' tablespoons olive oil, divided', ' ounces cremini mushrooms, stems removed and thinly sliced', '/ teaspoon rosemary, minced (we used thyme as it was what we had onhand)', 'Salt', 'Freshly cracked black pepper', ' flour tortillas (or gluten-free)', ' ounces Brie cheese, thinly sliced', ' arugula, lightly packed', 'Honey', 'Flat leaf parsley, for garnish (optional)']"
Greek Quesadillas,"['8 whole wheat tortillas', '2 cups fresh spinach', '1 red onion', '2 roasted red peppers from a jar', '1/2 cup Kalamata or black olives', '2 cups shredded mozzarella cheese', '1/2 cup feta cheese crumbles', '1 1/2 tablespoons fresh chopped oregano (or 2 teaspoons dried)', 'Red pepper flakes (optional)']",,"[' whole wheat tortillas', 's fresh spinach', ' red onion', ' roasted red peppers from a jar', '/ Kalamata or black olives', 's shredded mozzarella cheese', '/ feta cheese crumbles', ' / tablespoons fresh chopped oregano (or  teaspoons dried)', 'Red pepper flakes (optional)']"
Ultimate Rainbow Vegetable Sandwich,"['1/2 cup thinly sliced radishes', '1/2 cup apple cider vinegar', '1 1/2 tablespoons sugar', '1 teaspoon kosher salt', '1 red bell pepper', '1 yellow bell pepper', '1 tablespoon olive oil', '2 to 3 pinches kosher salt', '4.5 to 6 ounces goat cheese, softened (for vegan, substitute 1/2 cup hummus)', '1/2 teaspoon olive oil', '1 tablespoon chopped fresh basil', '1 teaspoon chopped fresh oregano', '4 slices bread (gluten-free if desired, or Homemade Bread, Dutch Oven Bread, or Artisan Bread)', '1/2 avocado, sliced', '2 large leaves lettuce', '1/4 red onion, sliced']",,"['/ thinly sliced radishes', '/ apple cider vinegar', ' / tablespoons sugar', ' teaspoon kosher salt', ' red bell pepper', ' yellow bell pepper', ' tablespoon olive oil', ' to  pinches kosher salt', '. to  ounces goat cheese, softened (for vegan, substitute / hummus)', '/ teaspoon olive oil', ' tablespoon chopped fresh basil', ' teaspoon chopped fresh oregano', ' slices bread (gluten-free if desired, or Homemade Bread, Dutch Oven Bread, or Artisan Bread)', '/ avocado, sliced', ' large leaves lettuce', '/ red onion, sliced']"
